Path,Class,PropertyName,PropertyType,RealValue,OtherValue,TimeSeriesId,UOM,Description,PropertyOther,LastChange,Version,SourceSystem
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.enclosure"",""SHKA.04.U1.T1.enclosure.transducer""]",,blanket gas pressure,specification,,,,bar,Pressure of blanket gas in terminal enclosure,"{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\GI-055"",""DisplayDigits"":-5,""DisplayUOM"":""bar"",""ID"":""807e16c6-ba35-455f-b9e5-bf40fa94a036"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""SourceUOM"":""bar"",""Type"":""Double""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.fluid inlet""]",,Type,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""5176e825-7bc6-4bb9-88cf-626128b0d56a"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.fluid inlet""]",,fluid inlet,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""433ac783-f0af-43d4-ace3-b3c687e980a2"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.fluid inlet""]",,Diameter,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""6b5ba187-0fcd-499f-a600-b67777184e6c"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank.level""]",,level,specificationString,,,,,Visual level reading on the transformer coolant,"{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\T1-OR-23548574"",""DisplayDigits"":-5,""ID"":""ca925e6a-987b-47e9-8204-0c8d226b8806"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank.level""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""dd1c1e5d-f18c-4501-bcb7-02d7037bf51f"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""51043d58-fd09-4e17-9476-561d61aefe61"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank""]",,Design pressure,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""245908cd-9a3d-4d6f-a8a6-3f1777ba456b"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.LTC.filter state""]",,LTC filter system,specificationString,,,,,Health status of the LTC filter system,"{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\GI-016"",""DisplayDigits"":-5,""ID"":""13d3cbd1-d9a1-4258-bfe0-3d8c44b665fe"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank.pressure""]",,pressure,specification,,,,kPa,Pressure reading on the transformer tank (coolant pressure),"{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\PT-054"",""DisplayDigits"":-5,""DisplayUOM"":""kPa"",""ID"":""eade9c7a-94ed-4fec-ba66-68cfcfbe6b6f"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""SourceUOM"":""kPa"",""Type"":""Double""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.tank.pressure""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""34acf6e2-9893-46dc-810c-87d0b007ea8c"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.LTC""]",,Manufacturer,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""fbdb36ee-3b5b-4191-b0ee-0e13a253fd40"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.LTC""]",,LTC type,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""c3daedd1-cf60-4e0a-ae30-3fc784f137cc"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.LTC.state""]",,LTC state,specificationString,,,,,,"{""DisplayDigits"":-5,""ID"":""fbf20f98-b4e1-46ba-ae1e-0d3effe4bbe4"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":true,""SupportedContexts"":4,""SupportedDataMethods"":118502135,""Type"":""String""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
"[""FusionDev"",""Companies Consolidated"",""Power"",""Transportation"",""Connolly Substation"",""SHKA.04.U1.T1"",""SHKA.04.U1.T1.windings.temperature""]",,temperature,specification,,,,°C,Temperature reading on the transformer tank (coolant temperature,"{""ConfigString"":""\\\\fusion-rockwell?7ffcdfc4-cab3-49d3-86ab-857d800568b2\\TT-054"",""DisplayDigits"":-5,""DisplayUOM"":""°C"",""ID"":""66706c16-8f4e-417f-a131-55de13cca037"",""IsDataReferenceDefinedByTemplate"":false,""IsDeleted"":false,""IsManualDataEntry"":false,""Step"":false,""SupportedContexts"":3,""SupportedDataMethods"":225653751,""SourceUOM"":""°C"",""Type"":""Double""}",,cb6e19bd-3fc5-46e0-95ad-26666f4bfcd7,fusion-rockwell
